SNo,Channel Name,Channel Description,Channel URL,Channel Subscribers,Channel Videos,Channel Views,Channel Creation Date,Thumbnail Path,Email,Social Links
11,Podcast Renovação,"Endereço: Rua Gabino Rios, 43 - Porto de Santana, Cariacica - ES, 29153-010

",https://www.youtube.com/channel/UCmfkqPR--sdNp2iu0MUou2w,246,34,6506,,Podcast Renovação.jpg,"",""
12,081 Podcast,"",https://www.youtube.com/channel/UCvHTq-Pj1GxfpGrnSBHJvVw,856,44,35374,,081 Podcast.jpg,"",""
13,Podcast Ilimitado,"",https://www.youtube.com/channel/UCcdWtpdffDpUH6eg1hr7yoQ,407,18,3144,,Podcast Ilimitado.jpg,"",""
14,Trava na Língua podcast ,"Canal de Podcast, criado pra aquele bate-papo descontraído entre amigos.
Gosta de um papo sem Trava na Língua?
Então se inscreva e curta o nosso canal. 
",https://www.youtube.com/channel/UCTjLcOugvArCH31gUGUt-KQ,385,24,6249,,Trava na Língua podcast .jpg,"",""
15,Pro Player PodCast [Oficial],"Pro Player | PodCast
Pro Players da Vida Real..",https://www.youtube.com/channel/UCaCuDpuYE-vGebFDIox8pFA,756,56,17573,,Pro Player PodCast [Oficial].jpg,"",""
16,3POA Podcast,"Welcome to the 3POA Podcast! Hosted by LaserPants (aka Ryan) with Tony Roberts from the Analog Toys Youtube channel and Bobby Vala, creator of the Valaverse Action Force line of action figures.
Join us every other Saturday at 5pm pacific / 8pm eastern as we discuss modern and vintage toy collecting, movies, TV and more pop culture topics!",https://www.youtube.com/channel/UChxf_r_tVvcML3KKz2U7Z1A,1030,31,32939,,3POA Podcast.jpg,"",""
17,Lenga Lenga Podcast,"Olá, antes de mais nada, iremos explicar qual o sentido de  Lenga-lenga .

O que queremos é uma roda de conversa, tipo um bate papo descontraído e sem preocupações. Pensando nisso pedimos aos nossos estudiosos para encontrar um nome, após dias de muita procura não conseguimos encontrar,  os melhores nomes já tinham sido usados ( Podpah ,  Flow  e  ticaracaticast ) foi uma surpresa ao ver que esses já foram usados. Quem diria né. 

 Ai entra nosso mega apresentador (Marcelo) em seu momento de lucidez  (devido a idade) relembrava a época de escola (sim, ele foi...)  ele se sentava ao fundo da sala de aula (já que era um rapazinho bem falador) para conversar com seus amigos e volta e meia a professora esbracejava para eles  Ei ai do fundo vão parar com essa lenga lenga aí? 
 Nesse momento nosso produtor perguntou o que era lenga lenga, nisso fomos procurar seu significado real, já que não era de nossa época e vimos que se tratava de  Nada mais do que conversa fiada ou conversa informal. 
",https://www.youtube.com/channel/UCTkspJup_xOa6qvWD5j3Wgg,161,22,3371,,Lenga Lenga Podcast.jpg,"",""
18,3 menos 1 Podcast,"Somos un podcast joven 🎙️🎧🙋🏻‍♂️, estamos chiquitos por ahora pero hablaremos de cine, series y todo lo geek 🥰",https://www.youtube.com/channel/UCxuByvjnZyjvMEubVLaJ0IQ,64,41,7284,,3 menos 1 Podcast.jpg,"",""
19,PODCAST ERA DJEMBER,"",https://www.youtube.com/channel/UCffqve8yudnS5_zqo3RIo5Q,214,1,157,,PODCAST ERA DJEMBER.jpg,"",""
20,Shinnyo Podcast,"完整影片僅供信徒觀看，請從社群/群組公告網址連結

Shinnyo podcast 上線了！

大家都在聽podcast的事你知道嗎？
這是一個以聲音為主的節目，
同時也讓我們透過聲音來感受他人的情緒！

不論是生活緊湊或輕鬆自在的你，任何時間地點，也可以利用上下的班（課）通勤，約會前等待、睡前....把握時間來收聽！

只要利用短短幾十分鐘就可以聽到更多真如Life，讓你更貼近真如~
 
",https://www.youtube.com/channel/UC4fw1lNBJbEJvGIHfv5wmVA,207,0,0,,Shinnyo Podcast.jpg,"",""
21,Digitalize Podcast,"Quem somos
Reunimos as principais empresas digitais para te ensinar o passo a passo da digitalização do seu negócio. Se você quer aprender a vender um produto ou serviço em sites, redes sociais e aplicativos, seu lugar é aqui.

Acesse materiais e aulas elaborados pelos líderes do Comércio Eletrônico. Nossos professores são as próprias plataformas digitais e redes sociais. Afinal de contas, quem não gostaria de aprender com quem desenvolveu a própria tecnologia?
",https://www.youtube.com/channel/UCyM-7se7F_0VKqiOtRypHig,49,14,1189,,Digitalize Podcast.jpg,"",""
22,Podcast Barber Limeira,"DIREÇÃO:
 Thyerri - Intagram: https://www.instagram.com/tierre_este...
 Leoncio - Instagram: https://www.instagram.com/leoncioofic...
               
Lives todas as quartas feiras as 19:30h
Vídeos todas as segundas feiras as 12:00h

CONTATOS: 
📧- leoncioarajo@hotmai.com
📧- tierreestevao2@gmail.com
",https://www.youtube.com/channel/UCPVdwCsSMStK-SW8eFoSLBg,1160,24,30632,,Podcast Barber Limeira.jpg,"leoncioarajo@hotmai.com
tierreestevao2@gmail.com","https://www.instagram.com/tierre_este
https://www.instagram.com/leoncioofic"
23,Podcast Akedah,"Seu Canal de Podcast.
Podcast Akedah Vozes Vencedoras!
",https://www.youtube.com/channel/UCUwYejOm94ZB3CT29yGY67g,453,19,11043,,Podcast Akedah.jpg,"",""
24,Podcast Sem Nome ,"",https://www.youtube.com/channel/UCATSkTk8Hpzjg7SuhPcKVRA,91,3,1121,,Podcast Sem Nome .jpg,"",""
25,Viva Podcast,"Um humilde podcast com entrevistados magníficos.
Vídeos novos toda a semana.

",https://www.youtube.com/channel/UCBhN_ZXEhMueQqvRTxlBkdg,556,21,12069,,Viva Podcast.jpg,"",""
26,LIGHTS OUT PODCAST,"Lights Out Podcast hosted by Bilal Khan.",https://www.youtube.com/channel/UC2Z2nVVpYYcHKUVKgynEB8Q,,18,2994759,,LIGHTS OUT PODCAST.jpg,"",""
27,De Duurzame Podcast,"",https://www.youtube.com/channel/UCT98GG1IlXXcI8xPeJDy0DQ,167,21,3544,,De Duurzame Podcast.jpg,"",""
28,PAANGAT! podcast,"Official channel of “PAANGAT!” Podcast",https://www.youtube.com/channel/UC4PEKTb9BFDw32qOMtKzxPw,52,1,611,,PAANGAT! podcast.jpg,"",""
29,Fenômenos Podcast  ,"",https://www.youtube.com/channel/UC8-QUS3LlOJfbAXcYttKJEA,108000,73,4039701,,Fenômenos Podcast  .jpg,"",""
30,Get Dressed Podcast,"",https://www.youtube.com/channel/UCfwiZc8c0osXybDvgR33B5A,78,2,693,,Get Dressed Podcast.jpg,"",""
31,Chin Check Podcast,"Real unfiltered views and commentary on EVERYTHING with lessons and humor

",https://www.youtube.com/channel/UCft2uLA6SQsdeBuakQQUuPg,833,69,46428,,Chin Check Podcast.jpg,"",""
32,AGR Podcast Estudio,"",https://www.youtube.com/channel/UCvno4rwQP3b_S3w874QZDFA,88,1,936,,AGR Podcast Estudio.jpg,"",""
33,Descentralizando Podcast,"",https://www.youtube.com/channel/UCT8biWKfFuTdjAlqM2SZpuQ,153,21,2044,,Descentralizando Podcast.jpg,"",""
34,Caju Podcast,"",https://www.youtube.com/channel/UCmrIVmTRWOn5dwXX-WAtmrA,1020,41,27266,,Caju Podcast.jpg,"",""
35,USFL Podcast,"The USFL Podcast is a show dedicated to covering the United States Football League on a weekly basis. The REF and Zach Keilman will be bringing you all the latest USFL news, rumors, game previews, recaps and much much more... 

We'll be reporting on all eight USFL teams throughout the season, so if you're a fan of the Birmingham Stallions, Houston Gamblers, Michigan Panthers, New Jersey Generals, New Orleans Breakers, Philadelphia Stars, Pittsburgh Maulers or Tampa Bay Bandits; we got you covered!

We hope you join us on our journey to #USFL kickoff and beyond!",https://www.youtube.com/channel/UC6cTlJxJ1k71RHZluopvq9A,2710,72,96536,,USFL Podcast.jpg,"",""
36,Sunhuyn Podcast,"Chào các bạn, mình là Sun. Các bạn đang lắng nghe Sunhuyn Podcast.
Nếu có những ngày cảm thấy chênh vênh hãy quay về đây và yêu lấy chính mình. Cùng lắng nghe và thấu hiểu.

➫ Kết nối với Sun:
Podcast: https://anchor.fm/sunhuyn
Youtube Sunhuyn: https://www.youtube.com/sunhuyn95
Fanpage: https://www.facebook.com/sunhuynvlog/
Instagram: https://www.instagram.com/sunhuyn/
TikTok: https://www.tiktok.com/@sunhuynn?

#sunhuynpodcast
",https://www.youtube.com/channel/UCs0e_9h1VqhfvJku59dftKg,58800,54,1711025,,Sunhuyn Podcast.jpg,"","https://anchor.fm/sunhuyn
https://www.youtube.com/sunhuyn95
https://www.facebook.com/sunhuynvlog/
https://www.instagram.com/sunhuyn/
https://www.tiktok.com/@sunhuynn?"
37,Podcast With Hamid,"
راه باش تخرج نهائيا من المصفوفة ماشي شي حاجة ساهلة
و أصلا ماشي كلشي قادر يخرج، الغالب الله كانين بعض الناس غادي يبقاو تما.
فالأول غادي تصدم،
من بعد غادي دوز من مرحلة الغضب،
غادي تحاول ترجع للمصفوفة ماغديش تقدر،
غادي تحاول تتقبل الواقع ولكن ماشي بسهولة،
تقدر دوز أيام صعيبة، مثلا شوية ديال الأرق اليلي،
توتر، و تقدر توصل حتى الإكتئاب،
مع مرور الوقت ضروي تمر للمرحلة تقبل الواقع المر،
من بعد ماغديش تبقى تحس بالمرورة، غادي تحس بالحلاوة ديال الحكمة الرديبيلة ، ملي غادي تشوف الأغلبية ديال الناس مازال عايشين في غيبوبة، غادي تحاول تتكلم وتفيق الناس،
غادي تعاود ترجع الغضب، حقاش ماشي ساهل تفيق الناس، و هذا جزء لايتجزء من المصفوفة، و حتى هو واقع خاصك تتقبلو.
باش الأمور تبقى غادية مزيان خاصك ضروري ، تحافظ على الجرعة الأسبوعية، على الأقل بالنسبة للناس القدامى، اما الناس الجدد في عالم الريد بيل، ضروري من الجرعة اليومية، 
و متتوقفش على تطوير الذات، سوى كنتي جديد و لا قديم،
وللحديث بقية.
",https://www.youtube.com/channel/UCiP-m6zmGcd0AKpBD8ndjjA,5920,117,354339,,Podcast With Hamid.jpg,"",""
38,Desanonimos Podcast,"Porque ninguém é anônimo , todos temos uma história pra contar !",https://www.youtube.com/channel/UC4Uf0rNz3ddZkmanXDIAtfw,2740,197,145839,,Desanonimos Podcast.jpg,"",""
39,Sai da Lama Podcast,"",https://www.youtube.com/channel/UCI4yAgHUgiNKolkHCUMWGSg,1980,122,63798,,Sai da Lama Podcast.jpg,"",""
40,Košarkaški podcast sa Lukom i Kuzmom,"Košarkaške teme u cilju afirmacije najlepšeg kolektivnog sporta. Dnevne teme, Evroliga, ABA Liga, NBA i sve ostale aktuelnosti.
 ",https://www.youtube.com/channel/UCZEeXCfyo_ljd_e2o7zxVtw,1770,48,166073,,Košarkaški podcast sa Lukom i Kuzmom.jpg,"",""
41,Cortes Blacknite Podcast  [OFICIAL],"Canal de cortes OFICIAL do Blacknite Podcast, o melhor papo gamer da internet!
Podcast apresentado por Blackoutz!
Ao vivo toda terça feira às 20h em https://twitch.tv/blxckoutz
",https://www.youtube.com/channel/UCGneST-89i5dn0PAnZMx1MA,23500,101,2472824,,Cortes Blacknite Podcast  [OFICIAL].jpg,"","https://twitch.tv/blxckoutz"
42,NoDivã Podcast,"O NoDivã PodCast foi criado em 03 de novembro de 2021 em Macapá- AP, e será apresentado por Nandinha Lourenço e Roberta Fonseca, o programa terá a finalidade de abordar assuntos atuais de diversos segmentos, levando entretenimento aos telespectadores. ",https://www.youtube.com/channel/UCUoII01YAMcdLAiIY7b680w,1640,33,16445,,NoDivã Podcast.jpg,"",""
43,The Dual Position Podcast,"he Dual Position Podcast is your one stop shop for all things Premium NRL Supercoach Content! Hosted by The SuperCoach Whisperer (2x Top 100 Finishes) and BrewSC22 (2021 100th place) we aim to mix the detailed breakdown of the beautiful game with a light hearted approach! Catch us live on Youtube on The Dual Position Channel channel, Sundays and Tuesdays at 7:30pm AEST during the season, or join us on any Podcast Platform.

@SCWhisperer and @BrewSC22 avaliable on Facebook, Twitter and Instagram.
",https://www.youtube.com/channel/UCcLY-2MUUgh05A6XxEKtHxg,1950,74,163547,,The Dual Position Podcast.jpg,"",""
44,Red Robin Podcast,"🎙 An independent Rugby League podcast covering all things 𝗛𝘂𝗹𝗹 𝗞𝗶𝗻𝗴𝘀𝘁𝗼𝗻 𝗥𝗼𝘃𝗲𝗿𝘀 | Hosted by Chris Johnson and powered by 360 Chartered Accountants and Budget Tyres Autocentre.
",https://www.youtube.com/channel/UCFXuigsDXRtBUdH3ucdPz5Q,269,45,8989,,Red Robin Podcast.jpg,"",""
45,5 Minutos - Cortes Podcast,"Canal de cortes curtos e aleatórios de vários podcasts.",https://www.youtube.com/channel/UC77f9BZpnKrNd6rG5rp3irg,47300,589,29430668,,5 Minutos - Cortes Podcast.jpg,"",""
46,Tô Salvo PodCast,"✝️Com uma visão de apresentar o evangelho de um jeito cativante,🤗 impactando vidas e fazendo de cada testemunho pessoal dos entrevistados, uma experiência pessoal para todos nós! 
Faça parte da Família TÔ Salvo Podcast e seja abençoado. 🇧🇷🇮🇱
#Jesusvive #Podcast #família #Deus #sejasalvo #Cruz ",https://www.youtube.com/channel/UCz1_iROSbml2m2_6UfQ6gQQ,903,62,23549,,Tô Salvo PodCast.jpg,"",""
47,Invictus Podcast [Oficial],"Instagram Invictus Podcast - @invictuspodcast.oficial
 
Anfitriões:              
Matias - Instagram @matiaspinheiro1
Fernando - Instagram @fernandojc_chagas    
Josué - Instagram @josue.neves.75        

✂️ CORTES INVICTUS
https://www.youtube.com/channel/UCqq9SmP-OqebqAghT8k2lHA
",https://www.youtube.com/channel/UC9H_V00D0Z49HC47qBe1Q8g,1740,66,43912,,Invictus Podcast [Oficial].jpg,"","https://www.youtube.com/channel/UCqq9SmP-OqebqAghT8k2lHA"
48,Noix Podcast,"O Noix Podcast é transmitido semanalmente (dois episódios por semana: às segundas e às quintas-feiras) e rola um bate papo com personalidades que se destacam em suas áreas de atuação, apresentando conteúdo relevante e inspirador para quem nos ouve/assiste.

 
Assine o canal https://www.youtube.com/c/noixpodcast
Instagram: @noixpodcast https://www.instagram.com/noixpodcast/
Facebook - Noix Podcast https://www.facebook.com/noixpodcast/
Spotify - Noix Podcast https://open.spotify.com/show/3aPFjkT...
Deezer - Noix Podcast https://deezer.page.link/ti6A9LzpQ2sk...
 
O Instagram dos anfitriões:
Alan Coutinho https://instagram.com/alancoutinho8?u...  
Victor Macedo https://instagram.com/victormacedo67?...  
Washington Rodrigues https://instagram.com/washingtonrodri...  

Produção:
Gian Moura https://instagram.com/gianmoura.gm?ut...  
Lucas Cardoso https://instagram.com/lucascardosodos...
",https://www.youtube.com/channel/UCw868GqJ6jRKAsPfLSUmU9w,1600,57,41119,,Noix Podcast.jpg,"","https://www.youtube.com/c/noixpodcast
https://www.instagram.com/noixpodcast/
https://www.facebook.com/noixpodcast/
https://open.spotify.com/show/3aPFjkT
https://deezer.page.link/ti6A9LzpQ2sk
https://instagram.com/alancoutinho8?u
https://instagram.com/victormacedo67?
https://instagram.com/washingtonrodri
https://instagram.com/gianmoura.gm?ut
https://instagram.com/lucascardosodos"
49,Podbar Podcast,"PODBAR

O podcast com a cerveja mais gelada do Brasil.

Ouça sem moderação!

--------------------------------------------------------------------------------------
REDES DO PODBAR:

Instagram
@podbar.com.br

Twitter
@podbarpodcast

TikTok
@podbarpodcast

FACEBOOK
https://www.facebook.com/podbar.com.br

SITE
www.podbar.com.br

----------------------------------------------------------------------------------------
ANFITRIÕES:
Gabriel: @gabriel_ricardo14

Gustavo: @gugaminikovski

João: @vantejoao

Thiago: @avallonethi

----------------------------------------------------------------------------------------
PRODUÇÃO: 
Pedro: @heiden.pedro

Paulo: carvalho_paulo047

----------------------------------------------------------------------------------------
DIREÇÃO: 
O que tiver a melhor ideia no dia.
",https://www.youtube.com/channel/UCVgsK7SKm7twtVwtot278rA,1090,94,30173,,Podbar Podcast.jpg,"","https://www.facebook.com/podbar.com.br"
50,Blacknite Podcast [OFICIAL],"O melhor papo gamer da internet! | Podcast apresentado por Blackoutz!
Ao vivo toda terça feira às 20h em https://twitch.tv/blxckoutz
",https://www.youtube.com/channel/UChUOmb_KG5rKYElMOsN_8YQ,29500,14,552708,,Blacknite Podcast [OFICIAL].jpg,"","https://twitch.tv/blxckoutz"
51,Az Ideias Podcast,"Big da Godoy e Boy Killa receberão grandes convidados para debater temas polêmicos, assuntos da atualidade e com toda a vivência do Capão Redondo em um Podcast que veio pra chama Az Ideias.

Sinta-se a vontade para participar da nossa resenha!

Se inscreva no canal, ativa as notificações e já pega um café bem quente que  Az Ideias  vão ser quentes.

#azideiaspodcast #podcast #2022
",https://www.youtube.com/channel/UCxoWC4Yo99081TMSypukz-A,19300,74,737959,,Az Ideias Podcast.jpg,"",""
52,Locked On Stars Podcast,"Every weekday, Dane Lewis brings you the Locked On Stars Podcast. Join in for the latest in-depth Dallas Stars analysis, takes, and chatter. From breakdowns of games and key moments, to divisional and NHL outlooks, to guest interviews and locker room chatter, there's plenty of intriguing and detailed coverage of the Lone Star State's NHL team to cycle through your cranium. Part of the Locked On Podcast Network.",https://www.youtube.com/channel/UCLw9RoIjo9OyfFzls6scRYw,431,246,19363,,Locked On Stars Podcast.jpg,"",""
53,Theteaprint Podcast,"Welcome to Theteaprint podcast, formally known as sip pink. Theteaprint podcast is an extention of Theteaprint brand formally known as Blackteablog. Theteaprint podcast is a place where we provide uncensored commentary on all things pop culture. Don't forget to subscribe before you go!
",https://www.youtube.com/channel/UCDSCaI4R1qkz70SH-Sju_LQ,15700,100,2205807,,Theteaprint Podcast.jpg,"",""
54,novels podcast,"سلام به چنل خودتون یعنی NOVELS PODCAST خوش امدید.
ما هر روز با بهترین رمان ها همراهتون هستیم .
امیدواریم بتونیم لحظات خوبی رو براتون رقم بزنیم.
شما میتونید به وسیله سابسکرایب کردن و لایک کردن ویدیو هامون به ما انرژِی و انیگزه بیشتر واسه ادامه راه بدین❤️🙏
",https://www.youtube.com/channel/UCMteF4I9_WteDAwwKC_ciKA,,270,157087,,novels podcast.jpg,"",""
55,Inconsciente Soberano Podcast,"SOBRE O INCONSCIENTE SOBERANO:
Somos todos únicos e todos temos histórias para compartilhar.
O que une nossa comunidade é a coragem de desafiar padrões.
A nossa força não vem das semelhanças, mas das nossas diferenças!
Mesmo com tantas porradas da vida, a gente segue firme, interessados, curiosos, resilientes.
Venha fazer parte dessa comunidade!

https://linkr.bio/4k9zm
",https://www.youtube.com/channel/UCS_boMJECYNFYM3IXSfLjTQ,165,31,4917,,Inconsciente Soberano Podcast.jpg,"","https://linkr.bio/4k9zm"
56,Noir Podcast,"Onde a divergência enriquece e não divide! Dois amigos com visões e mundos diferentes, um progressista e um conservador que conseguem enxergar mais do que a polarização e raça entre si. 🕴🏾

📬 CAIXA POSTAL
80154 | CEP: 03350-970 | São Paulo - SP
(Especificar que é pro Noir)

📩 Para patrocínio e parcerias:

comercial@goldenpill.com.br

ANFITRIÕES:
Felipe Flip- Instagram @felipeflip
                     - Twitter @felipeflip__

Paulo Cruz - Instagram @paulocrusphi
                    -  Twitter @paulocrusphi

DIREÇÃO E PRODUÇÃO:

Cristian

Vane Barreto - Instagram @brvane7

✂️ CANAL DE CORTES DO NOIR
https://www.youtube.com/channel/UCK9VMmxC_e5DDr_0mNwkr0g/featured
",https://www.youtube.com/channel/UC49AXYRJpDmPR5DEKFexdbw,23900,86,629004,,Noir Podcast.jpg,"comercial@goldenpill.com.br","https://www.youtube.com/channel/UCK9VMmxC_e5DDr_0mNwkr0g/featured"
57,The Liquidator Podcast,"Asia, America, Africa, Europe - wherever the sport is, I'm there.

A football and boxing live streaming channel covering National Team, Premier League and more leagues across the globe. Including watchalongs, match reactions and general football content, be sure to subscribe to the channel to join the fun.

I am a normal English guy trying to learn about the game outside of the UK, join the chat for my live videos to contribute to the banter and football analysis.

Feel free to contact me on my socials for feedback and match recommendations and of course, do not forget to like and subscribe my good friends.
",https://www.youtube.com/channel/UCYvjBFuRaufvL5h2Xgsq1hg,3550,91,1081557,,The Liquidator Podcast.jpg,"",""
58,70x7 podcast,"",https://www.youtube.com/channel/UCbuThFPIAHxaTZHNolz39NA,563,42,12316,,70x7 podcast.jpg,"",""
59,Dus 2 Podcast,"",https://www.youtube.com/channel/UCI7mmxzoMwBwaVyC4hMC37Q,5080,49,122057,,Dus 2 Podcast.jpg,"",""
60,Workin' On It Podcast Highlights,"Hosted by Meghan Trainor and Ryan Trainor. New episodes every Wednesday.




",https://www.youtube.com/channel/UCGk7d8tLOV8qBmLR7o375RQ,5030,39,23365,,Workin' On It Podcast Highlights.jpg,"",""
61,Teachers Off Duty Podcast,"",https://www.youtube.com/channel/UCkLUQ2TIUuuaRfNP3VwHR5A,432000,421,121565593,,Teachers Off Duty Podcast.jpg,"",""
62,De Lavada Podcast,"O De Lavada chega para trazer histórias e notícias do mundo da bola em formato leve, sempre com um convidado diferente, que vai contar um pouco de suas experiências. 

Aqui você encontra alegria, descontração e muita informação. 

Tudo reunido em um único podcast! ⚽  🎙 🥳  🍻 🍺 

Nossas Redes Sociais e Canal de Cortes estão no ar. 

Corre lá para se inscrever e não perder os melhores momentos.  
👇🏻👇🏻👇🏻
",https://www.youtube.com/channel/UCN_Hun8qwR6ifFHT-GT2YSA,21500,43,633709,,De Lavada Podcast.jpg,"",""
63,Lucky Lefty Podcast Network,"Former Notre Dame quarterback. Malik Zaire and Shaun Davis discuss Notre Dame football and other news around college football.   We Spin It Different . 

featuring Onora Whisky: onorawhiskey.com
featuring Fashion Geek: alonzojackson.com

follow Lucky Lefty on Instagram and Twitter
@LuckyLeftyPod

Subscribe, Share, Like and hit the notification bell.

Also available on Apple podcasts on  A2S Network .
",https://www.youtube.com/channel/UC8ODsA8sUWmoFWQHltBESAQ,2360,220,328236,,Lucky Lefty Podcast Network.jpg,"",""
64,The Nikki Glaser Podcast,"The Nikki Glaser Podcast is your daily companion and BFF that is real, fast-paced, and peppered with Nikki’s sense of humor and honesty to keep you sane, well-informed and laughing through life. Every Monday through Thursday, tune into comedian and infamous roaster Nikki Glaser  as she provides a fun, brutally honest look into current pop-culture and her own personal life.


",https://www.youtube.com/channel/UCv56vKUY_59gXVFe0bRL8og,10100,179,823002,,The Nikki Glaser Podcast.jpg,"",""
65,Locked On Wolverines Podcast,"Know the biggest stories of what's happening in Ann Arbor, with Michigan football and with the Wolverines basketball team, as WolverinesWire/USA Today's Isaiah Hole goes deep into the inner happenings of all things Michigan Athletics on the Locked On Wolverines Podcast, part of the Locked On Podcast Network.",https://www.youtube.com/channel/UCzgOn6PbMRjLuHvw6ie6NIg,1180,129,110283,,Locked On Wolverines Podcast.jpg,"",""
66,The Fishing After Dark Podcast,"This is the official YouTube channel for the Fishing After Dark podcast featuring the Beard and the Badge (a.k.a. LOJO and AYO Fishing). Follow along with us as we take on the world of fishing and outdoors channels on YouTube with some of the BIGGEST names in the space!!",https://www.youtube.com/channel/UC5V8cLyXqMNwR1pJPhuCXXw,21900,27,1058729,,The Fishing After Dark Podcast.jpg,"",""
67,The Players Club Podcast,"THE PLAYERS CLUB is a weekly college football video podcast hosted by former Clemson running back Darien Rencher. It’s a player-only perspective on what’s going on in college football both on and off the field. This isn’t a place for journalists or has-beens to spit hot takes in search of clicks. Rather it’s a much-needed space for the athletes themselves to speak their minds and offer refreshing firsthand perspectives on the sport they love and play.

The players you love on the field are welcoming you to join them in a conversation off it, The Players Club.

THE PLAYERS CLUB ON SOCIAL
Follow The Players Club on Instagram: https://www.instagram.com/theplayersc...
Follow The Players Club on Twitter: https://twitter.com/playersclub_pod
Follow Darien on Instagram: https://www.instagram.com/d_rench/
Follow Darien on Twitter: https://twitter.com/D_Rench_

This is an Embassy Row Production. For Brand Partnership Inquiries contact Alyssa Lanza | alanza@embassyrow.com
",https://www.youtube.com/channel/UCOKfow008xMzbc2wJeuOCcQ,3400,24,122336,,The Players Club Podcast.jpg,"alanza@embassyrow.com","https://www.instagram.com/theplayersc
https://twitter.com/playersclub_pod
https://www.instagram.com/d_rench/
https://twitter.com/D_Rench_"
68,Fool Coverage Podcast,"",https://www.youtube.com/channel/UCKlJLwZV472zWlO9eQv4RGg,112000,44,7780604,,Fool Coverage Podcast.jpg,"",""
69,Papo de Cria Podcast,"Siga a gente no instagram! 

Na apresentação: 
Rafael Rocha  http://www.instagram.com/rafaelpapodecria 
Biscoitão http://www.instagram.com/biscoitaopapodecria

Instagram do Podcast http://www.instagram.com/papodecriapdc
",https://www.youtube.com/channel/UCu-IL6WTA3wwKVcmJIfoJYg,,125,1121754,,Papo de Cria Podcast.jpg,"","http://www.instagram.com/rafaelpapodecria
http://www.instagram.com/biscoitaopapodecria
http://www.instagram.com/papodecriapdc"
70,Bolder Podcast,"O Bolder Podcast procura trazer pessoas de diversas áreas para conversar sobre conteúdo principalmente relacionado a intercâmbio, viver fora do Brasil, empreendedorismo e finanças. Começamos falando sobre o início da vida na Irlanda e depois partimos mais para a área de cada pessoa.
",https://www.youtube.com/channel/UCe8h7zh7mLCpvOC-Bmaz1gQ,5930,156,250386,,Bolder Podcast.jpg,"",""
